MODO APPLY
Regla: presentación CUBETA; si no hay, primera de presentaciones[].
id    codigo                      antes       despues     accion
475   VITROGLASS-ECOLOGICO        5023.57     5023.57     skip_protegido (CUBETA)
223   PINTU-FLEX                  0.00        2410.87     update (CUBETA)
477   CHISA-PLUS                  NULL        2840.13     update (CUBETA)
478   MARMOPLAST                  NULL        1391.16     update (CUBETA)
479   SELLADORACRILICO4648        NULL        907.37      update (CUBETA)
480   HEALERGLASSKIT1LT-C-ESPATUL NULL        262.05      update ()
481   REDYPLASTF                  NULL        987.11      update ()
482   REDYPLASTM                  NULL        1042.79     update ()
483   REDYPLASTG                  NULL        1103.44     update ()
484   MORTEROPLASTICOMALLA350-400 NULL        1205.56     update ()
222   ARENA-SILICA                0.00        1188.64     update ()
485   DECOPASTA                   NULL        804.86      update (CUBETA)
486   CHISAPLAST                  NULL        1016.34     update (CUBETA)
487   CHISAPLASTPLUS              NULL        3400.29     update (CUBETA)
488   PRAIMERGLASS                NULL        1028.18     update (CUBETA)
489   CHISAVINIL                  NULL        1334.31     update (CUBETA)
490   PROTECTPLUS                 NULL        4118.19     update (CUBETA)
491   SHELL-HARD-CASCARA-DENARANJ NULL        1704.15     update (CUBETA)
492   SHELLHARD-LISO-CASCARALISO  NULL        2183.04     update (CUBETA)
3     PROD-0001                   500.00      4797.13     skip_protegido ()
404   CHISA-GLASS-TEXTURADO-Y-MIC 0.00        4797.13     update ()
493   TRICOLORPLUS                NULL        7805.79     update ()
494   CORTPLAST                   NULL        4393.11     update ()
495   CHISA-MAR                   NULL        3597.23     update (CUBETA)
496   POLY-COLOR-ESCAMA           NULL        251.24      update ()
497   POLY-PLAST                  NULL        2373.64     update ()
498   POLYTANO9000-RESINA-EPOXICA NULL        3827.67     update ()
499   MARMOFLEXREF-BLANCO         NULL        4433.20     update ()
500   MARMOFLEXREF-COLOR          NULL        4759.76     update ()
501   IMPERGLASS3ANOS             NULL        2089.25     update ()
502   IMPERGLASS5ANOS             NULL        2994.38     update ()
503   IMPERGLASS7ANOS             NULL        3693.85     update ()

Resumen: cargados=30 omitidos=2 sin_match=0 apply=1
productos tot=494 precio>0=33 =0=460 NULL=1
