453	741	100.00%
461	303	200.000
465	192	394.97
468	1020	ANTITERRA204
476	595	2.50%ANTITERRA204
486	192	$153.62
488	306	5.000
489	66	$768.10
491	981	PARAFINA CLORADA
498	556	12.50%PARAFINACLORADA
509	193	$36.53
509	306	25.000
511	68	$913.25
512	958	AZULDEFTALOZANINA
520	533	25.00%AZULDEFTALOZANINA
530	194	$48.34
531	306	50.000
532	70	$2,417.00
533	1032	PLIOWAYEC-1
543	610	14.17%PLIOWAYEC-1
553	195	$137.34
553	308	28.340
555	1056	EXXOLD-40
557	71	$3.892.22
564	634	45.83%EXXOLD-40
575	309	91.660
577	196	$19.14
578	72	$1,754.37
644	1083	YAZUL
670	942	TINTA ROJO CARMIN
681	565	KILOS
685	313	200.000
755	320	HOJA N°7
