118	156	CHISA RECUBRIMIENTOS,S.A.DE C.V.
167	233	LISTADEPRECIOS2025
184	706	DESCRIPCION
190	556	PRECIO
192	411	RENDIMIENTO
206	236	PRODUCTO
209	29	CATEGORIA
209	560	S/IVA
214	433	TEORICO
227	638	precursordeadherencia para distintos
238	584	277.07
243	405	18-20m2
246	157	SELLADORACRILICO4648GALON
252	644	recubrimientos
264	585	907.37
266	539	S
269	406	90-100m2
272	157	SELLADORACRILICO4648CUBETA
282	642	acabadoTRANSPARENTEYBRILLANTE
289	29	SELLADORES
293	576	1,244.19
297	406	30-32m2
300	158	VITROGLASSECOLOGICO GALON
300	643	protectorparaalgunosrecubrimientos
320	575	5,023.57
325	406	180-190m2
328	157	VITROGLASSECOLOGICOCUBETA
341	643	resanadordesuperficies
349	406	1.7-2.1m2
349	590	262.05
351	157	HEALERGLASSKIT1LT.C/ESPATULA
357	644	masllaparalisarsuperficieinterioresy
373	644	exterioreirmentruosasanel
384	542	S
386	593	987.11
388	407	25-30m2
392	157	REDYPLASTF
403	645	Yyeso
418	646	masillaparaalisarsuperficiesinterioresy
434	646	exterioresemirugosaspaneldecemento
436	586	1,042.79
438	408	18-22m2
443	157	REDYPLASTM
470	647	masillaparaalisarsuperficiesinterioresy
485	587	1,103.44
488	542	$
488	649	exterioresrugosaspanelmampostera
490	409	12-14m2
492	156	REDYPLASTG
521	0	PREPARADORESDE
524	649	Producto que por sus componentes
537	586	1,205.56proprcionadurezaanclajeasuerficie
546	29	SUPERFICIE
548	544	$
550	157	MORTEROPLASTICOMALLA350-400
550	409	16-18m2
558	651	lisasoqueporsuscaracteristicas
594	651	Producto quepor sus componentes
609	653	proporciona alalisea superficiescomo el
628	653	aplanado demezclaoalaspreviamente
646	585	1,188.64tratadas con el producto mortero plastico,
650	549	S
653	413	22-25m2
655	156	ARENASILICAMALLA250-300
663	654	pararecibirun acabado orecubrimiento que
681	656	requierala superficie totalmentelisa,
699	655	logrando una excelente dureza
735	653	Pasta arquitectonica economica para
744	554	S
744	602	184.75
745	412	3.2-3.6m2
750	153	DECOPASTA GALON
752	656	interioresyext.puedesercongranoosin
774	656	grano.
779	553	S
779	601	804.86
782	414	16-18m2
785	153	DECOPASTA CUBETA
804	660	Pasta arquitectonica economica para
812	556	$
813	603	258.27
815	414	3-4m2
819	153	CHISAPLASTGALON
823	661	interioresyext.,puedesercongranoosin
839	596	1,016.348rano.
844	551	S
846	414	16-20m2
851	153	CHISA PLAST CUBETA
853	35	PASTAS
877	0	ARQUITECTONICAS
877	598	1,106.56
881	415	4-5m2
884	154	CHISAPLASTPLUS GALON
892	662	Recubrimiento con apariencia de canteray
907	592	3,400.29
909	558	S
909	661	hojuelasmineralesmulticolor
911	415	24-26m2
915	154	CHISAPLASTPLUS CUBETA
943	607	292.22
945	660	Pasta precursora paraaplicacion degranode
951	154	MARMOPLASTGALON
959	416	1.4-2m2
961	663	marmollanzado.
979	594	1,391.16
981	415	7-10m2
986	154	MARMOPLASTCUBETA
