27	357	RENDIMIENTO DE MATERIAL
84	202	PRODUCTO
88	612	RENDIMIENTO
136	73	MORTERO PLASTICO
138	465	CUBETA
141	309	manes
142	256	25
142	670	16M2
164	282	Wmese
164	466	GALON
167	673	3M2
171	257	a
173	408	dm
188	75	ARENA SILICA
190	466	CUBETA
195	670	22M2
217	470	GALON
217	670	4M2
237	76	SELLADORI.(PRAIMER)
242	467	CUBETA
246	667	90M2
270	471	GALON
270	667	18M2
293	79	SELLADORF.(VITRO GLASSECO)
294	467	CUBETA
296	663	190M2
318	469	GALON
321	668	38M2
343	81	PASTA PARA TEXTURIZARINT.
343	467	CUBETA
344	654	14-16M2
370	471	GALON
371	665	3-4M2
392	82	PASTA PARA TEXTURIZAR EXT.
395	469	CUBETA
395	656	12-14M2
418	664	2-3M2
420	471	GALON
443	84	MARMOPLAST
443	467	CUBETA
443	673	7M2
466	674	1M2
469	472	GALON
488	669	32M230-3
493	469	CUBETA
495	90	CASCARA DENARANJA
511	673	6M2
517	473	GALON
538	671	80M2
542	470	CUBETA
544	91	PRIMERP/IMPERMEABILIZAR
564	676	5M2
566	470	CUBETA
568	91	MARMOFLEX
586	671	30M2
590	473	GALON
613	661	55-60M2
615	470	CUBETA
616	92	CHISA GLASS
617	202	Jsxt
619	287	SS.
638	343	90m2
638	661	11-12M2
639	473	GALON
641	290	5
663	674	90M2
664	470	CUBETA
665	91	PINTUFLEX
687	473	GALON
687	675	18M2
711	469	CUBETA
712	92	CHISA PLUS
712	675	90M2
739	474	GALON
739	678	18M2
763	93	PINTURA ANTIBACTERIAL
763	470	CUBETA
765	678	90M2
789	677	18M2
790	474	GALON
811	89	RODILLO
815	677	250M.
838	86	BROCHA
838	273	20
839	232	69-
843	678	350M.
860	86	LIJAS MEDIANAS
865	245	14
865	281	30
868	663	20A30M.
887	10	16:20
889	82	IMASKING
891	412	SOmL
891	674	12.5M.2
914	83	PAPEL
914	259	10.33
919	254	4
921	678	250M.
941	102	ki
1010	581	a/cneS
1088	379	028
1089	158	caja
1110	485	449.80
1148	120	omplemento
1252	784	M
